#{"t_start": 1765431048.1975052, "env_id": "group5-env-v0"}
r,l,t
2.501942,7,63.907988
7.498494,22,64.679201
5.965772,18,65.308693
0.996684,6,65.586541
-0.242979,3,65.727573
-0.788623,2,65.814637
-0.858071,2,65.892296
0.988108,5,66.113409
0.998306,8,66.44811
1.670841,6,66.701826
0.187099,4,66.860818
10.049755,20,67.602717
-0.183529,3,67.742811
0.82957,5,67.97625
10.750995,20,68.829226
-0.907497,2,68.917815
2.527245,8,69.208471
0.603607,5,69.393208
8.861472,22,70.086697
10.575032,21,70.951734
6.362089,13,71.463414
1.568773,7,71.69566
0.577778,7,71.936803
1.102742,7,72.211383
1.163916,6,72.409325
0.057353,5,72.631812
-0.703359,2,72.709022
-1.229104,1,72.749223
2.114434,8,73.083814
-0.149892,3,73.213527
-0.423459,4,73.402349
1.834312,7,73.654951
1.501079,10,74.031171
3.164353,8,74.316174
0.263973,7,74.611323
-0.478893,4,74.766549
0.756816,5,75.010959
0.306875,4,75.154508
2.873336,12,75.60668
0.621128,5,75.815287
-0.864759,2,75.900921
-0.856813,2,75.992854
2.106341,9,76.374982
0.258477,4,76.544619
1.2964,6,76.779093
-1.010837,2,76.863352
-0.448644,4,77.027092
-0.276347,4,77.155453
0.618414,5,77.36277
-1.047657,2,77.436327
1.321356,7,77.7184
1.219448,6,77.947039
-0.83398,3,78.071551
-0.240821,3,78.19441
10.734769,17,78.77852
0.973081,5,87.152355
-1.012366,2,87.215921
-1.208544,1,87.253953
-0.321292,3,87.373573
-0.431547,2,87.447655
1.670936,9,87.821664
1.514829,8,88.130247
0.579927,7,88.404605
-0.891378,2,88.46916
0.19155,7,88.707937
0.196566,7,88.927646
9.013391,21,89.838448
-0.341901,3,89.955074
-1.164692,2,90.021044
0.475155,7,90.299523
2.581227,8,90.589865
0.413575,6,90.791143
-0.237183,3,90.899427
0.032751,4,91.056142
9.454658,22,91.924933
1.798453,9,92.253839
1.187136,8,92.510176
1.281079,9,92.916384
4.488603,13,93.452119
0.9405,7,93.725349
-0.699555,2,93.803486
2.635336,12,94.236182
1.178598,6,94.460462
3.818482,9,94.767939
3.395269,15,95.310662
1.499466,11,95.692235
1.60603,8,95.982785
-0.853276,2,96.068629
-0.85481,2,96.140873
-0.73599,2,96.22858
-0.487615,4,96.432233
-0.439061,4,96.629588
0.630013,5,96.803089
-0.698651,2,96.868656
-0.177435,3,96.975922
9.14324,19,97.733611
1.56961,6,97.973325
0.737153,8,98.264877
0.005703,5,98.459463
2.941141,9,98.783828
0.232116,5,98.977261
6.060308,13,99.490015
0.589869,7,99.75718
1.443289,6,99.999576
0.514138,6,100.242843
1.551779,6,100.489279
1.073971,6,100.706342
0.715792,6,100.906215
0.400514,6,101.127646
2.00093,7,101.390838
-1.20741,1,101.434075
1.894596,7,101.691162
1.301171,6,101.970665
1.465374,6,102.17732
9.165839,21,102.946186
-1.152915,2,103.029358
7.672827,19,103.776728
2.08264,8,104.049615
1.775789,7,104.286585
-0.785696,2,104.36173
-0.337642,3,104.47337
1.812408,9,104.859265
0.878842,5,105.05875
0.941197,6,105.30014
-0.661172,3,105.420668
1.244694,8,105.739622
0.474016,5,105.896279
-1.362526,1,105.931338
0.89464,5,106.105039
3.82123,14,106.602161
-1.164533,2,106.684258
-0.889154,2,106.769457
-0.188573,3,106.894787
0.397154,7,107.183209
-0.855653,2,107.262255
0.084211,3,107.380387
-0.711184,2,107.45825
0.489822,6,107.677038
1.361449,8,107.958487
8.403995,21,108.806356
2.46223,9,109.103987
2.563857,8,109.455034
-0.887365,2,109.534619
9.864849,20,110.427935
2.756659,8,110.73024
0.338425,5,110.90342
1.312176,6,111.128936
-0.856883,2,111.210563
5.138351,16,111.875133
9.536682,23,112.735808
3.089311,9,113.118299
0.051259,4,113.301157
-0.70324,2,113.395432
0.90852,7,113.704572
-0.234837,3,113.823867
-0.350071,3,113.946025
5.00442,14,114.535295
-0.432508,4,114.718173
1.641061,7,114.995512
-0.209355,3,115.133753
9.593143,22,115.966082
0.596986,6,116.186427
1.047388,9,116.564393
2.034726,10,116.995052
0.036413,4,117.16231
0.215965,4,117.310673
-0.707063,2,117.415175
0.879032,9,117.77743
2.319192,7,118.035643
3.314057,12,118.462816
0.279152,5,118.641392
-0.012479,5,118.884976
-0.708589,2,118.958799
1.062275,9,119.311617
-0.738449,2,119.387527
0.554694,5,119.565866
-0.204227,3,119.660951
-0.841838,3,119.779956
0.675692,7,120.05319
2.002515,7,120.293981
0.501517,7,120.589841
-0.076813,3,120.709065
1.160321,9,121.061394
-0.152315,4,121.262825
7.8002,15,121.789395
4.032903,13,122.255523
0.499572,6,122.493441
11.479031,20,123.214553
-0.184853,3,123.320928
-0.864568,2,123.386999
-0.855453,2,123.472022
1.221518,9,123.820817
3.425854,11,124.23597
0.246952,7,124.538063
-0.636313,3,124.654424
-1.000729,2,124.732768
-0.36521,3,124.848388
0.769225,8,125.090667
0.75196,5,125.260822
-0.857641,2,125.349888
1.865848,10,125.728704
0.816953,5,125.956231
0.719605,5,126.165025
4.556864,11,126.534846
-0.12213,5,126.727168
-1.088662,1,126.762699
0.833918,5,126.954571
-1.053894,1,127.000019
-0.576045,2,127.084729
-0.649564,4,127.257431
4.433882,13,127.730799
2.380381,8,128.056536
0.437755,4,128.232998
-0.736006,2,128.301588
6.940972,14,128.823325
-1.003944,2,128.890649
1.93158,8,129.197329
-1.363333,1,129.242981
0.282462,4,129.392242
6.24845,18,130.081953
-0.064434,6,130.295089
-0.643564,4,130.434731
0.836812,5,130.65768
0.406541,5,130.909464
1.637831,7,131.187673
0.621378,9,131.629433
2.43198,9,132.008398
0.280003,4,132.159107
