#{"t_start": 1764560262.0136106, "env_id": "custom-highway-v0"}
r,l,t
1.884633,3,196.110269
5.326684,7,196.582091
9.456393,12,197.373806
19.142926,22,198.941795
15.68238,18,200.248923
14.459118,17,201.341518
1.021278,2,201.473241
11.247653,14,202.581612
10.610458,14,203.544506
2.402734,4,203.823272
11.780981,15,204.9242
7.56566,10,205.587271
7.730095,10,206.354209
11.71075,15,207.420097
10.40426,13,208.288182
4.234958,6,208.774975
7.299451,9,209.335755
30.593982,40,212.475049
1.899529,3,212.675077
2.030738,3,212.884951
8.508188,10,213.590535
3.80067,5,213.954613
1.921915,3,214.19969
10.149655,13,215.068543
8.450556,11,215.818882
27.744858,32,218.136668
7.062153,9,218.809013
6.490408,9,219.433131
4.968812,7,219.938525
12.04092,14,220.968555
4.773463,6,221.367095
9.260494,11,222.073245
10.352185,13,223.056706
2.7296,4,223.282441
32.868415,40,225.996255
7.989482,10,226.830262
5.326485,7,227.286416
5.151964,7,227.754595
6.347814,8,228.312578
11.365704,14,229.293389
6.545754,8,229.848189
32.045149,40,232.762824
9.78589,12,233.636594
7.424111,10,234.33795
31.030141,40,237.317299
1.116533,2,237.463518
10.252181,13,238.349514
4.434779,6,238.821994
8.007321,10,239.518404
1.991241,3,239.691813
8.55771,11,240.448023
5.78727,8,241.085925
2.752754,4,241.394874
5.913652,7,241.880896
1.020723,2,242.0237
5.50793,7,242.460464
10.350947,13,243.432989
11.879989,15,244.450353
2.770976,4,244.761166
1.599232,3,244.988274
11.094319,13,245.975273
1.044158,2,246.093844
2.105756,3,246.295928
10.350505,13,247.237121
6.082971,8,247.773076
10.265646,13,248.682701
10.824517,14,249.64883
8.82057,11,250.496634
6.738834,8,251.148331
1.819931,3,251.367672
7.747679,10,252.058215
10.121596,13,253.016741
9.92657,13,253.980969
10.375094,13,254.893737
2.106287,3,255.112514
7.438886,9,255.821321
5.829886,8,256.303471
1.860257,3,256.515222
26.151371,29,258.604289
4.838443,7,259.148458
2.604546,4,259.556537
5.323883,7,260.057216
9.350192,12,260.871149
19.432071,23,262.585148
3.815296,5,262.932506
8.787117,11,263.79918
9.293731,12,264.544345
11.281331,14,265.583284
7.460753,10,266.2525
9.504087,12,267.069794
5.994063,8,267.634092
8.538427,10,268.348814
4.575598,6,268.744259
2.743404,4,269.01582
1.995781,3,269.26663
2.950449,4,269.569975
6.412006,8,270.130112
9.051016,11,270.832729
2.639754,4,271.121583
9.743408,12,272.129834
7.447861,10,272.815075
29.01005,40,275.817889
9.494717,12,276.619714
5.7537,8,277.197287
8.546175,11,277.984887
8.96112,11,278.749798
10.886101,13,279.669556
11.100336,14,280.773676
5.164877,7,281.211225
4.836803,7,281.77128
9.525117,12,282.689912
10.643624,14,283.660073
3.715318,5,284.05465
6.49611,8,284.643519
6.111666,8,285.119928
11.05174,14,286.297764
2.715353,4,286.659967
23.117456,27,288.581517
5.999548,8,289.12498
1.03108,2,289.265204
6.01357,8,289.804592
3.649684,5,290.22231
3.303893,5,290.611201
9.398945,12,291.363216
4.729403,6,291.751999
11.01126,14,292.799297
1.70788,3,292.998788
9.636328,12,293.770834
10.105541,13,294.695004
6.024321,8,295.223659
0.954346,2,295.359027
2.928364,4,295.630231
5.654735,7,296.115557
4.474143,6,296.551443
1.738204,3,296.794595
9.496903,12,297.650633
7.4204,9,298.303706
1.743346,3,298.527088
8.300614,11,299.264806
7.600197,10,299.968426
31.062718,40,313.00604
4.287146,6,313.43231
1.775558,3,313.644577
1.956442,3,313.913276
32.858351,40,316.801476
32.297022,40,319.505659
10.611016,14,320.600163
2.584963,4,320.899642
2.587702,4,321.166944
2.437298,4,321.416116
5.650366,8,321.90557
3.497236,5,322.248553
10.358596,13,323.136972
2.688428,4,323.415258
10.689906,14,324.4598
11.06427,14,325.388457
11.63298,14,326.35409
1.032652,2,326.489351
11.280108,14,327.437379
10.648475,14,328.407709
6.194902,8,328.961504
31.843974,40,331.64295
2.95799,4,331.943651
7.486234,9,332.587789
32.55886,40,335.329861
10.192815,13,336.255128
11.426066,15,337.360914
9.336378,12,338.211043
5.796606,8,338.807003
10.081542,12,339.615192
4.52788,6,339.971761
6.775569,8,340.610168
8.563782,11,341.356464
17.438722,21,342.811581
4.964576,7,343.305838
28.828844,40,346.225908
1.832112,3,346.440225
6.1244,8,347.008343
6.269279,8,347.595573
1.927491,3,347.766067
9.631633,12,348.71801
8.197669,11,349.497428
10.487321,13,350.356048
3.508907,5,350.708489
6.019006,8,351.367461
9.264569,12,352.11256
2.834273,4,352.382079
1.040974,2,352.551026
5.688702,7,353.084472
5.709902,8,353.606485
2.03716,3,353.834823
9.034039,12,354.692016
8.618906,11,355.594595
10.803431,13,356.457576
6.290426,8,357.053296
10.825347,13,357.966263
9.259356,12,358.77623
9.90743,12,359.683531
11.147886,14,360.625119
1.851296,3,360.849775
10.150304,13,361.809241
7.237614,10,362.474765
9.832884,12,363.394569
1.922934,3,363.653626
1.744247,3,363.875776
3.489602,5,364.242313
10.26308,13,365.16088
1.996567,3,365.386477
8.80034,12,366.248954
2.449909,4,366.52867
12.158883,15,367.666999
10.996464,13,368.578417
6.357544,8,369.176851
29.017302,40,372.335126
4.866265,6,372.77141
4.946263,7,373.326042
3.531658,5,373.704654
14.722099,18,374.893977
6.0893,8,375.48321
3.662532,5,375.849443
3.004353,4,376.142371
9.459146,11,384.440379
7.625347,10,385.228164
8.744535,11,386.296213
11.709845,15,387.241453
1.681696,3,387.46582
6.1037,8,388.114044
30.791221,40,390.818891
8.191668,10,391.47872
7.063502,9,392.114817
30.342799,40,394.834804
3.354754,5,395.14383
4.9939,7,395.640451
8.595382,11,396.588919
4.483217,6,397.047787
10.112289,13,397.937374
2.721114,4,398.230639
11.155909,14,399.267616
3.936261,5,399.571455
4.020864,5,399.956036
31.071399,40,402.907881
8.088102,10,403.556658
6.734342,9,404.231913
11.260926,15,405.346871
4.483691,6,405.798235
8.270276,11,406.623444
7.45952,10,407.319349
13.506704,17,408.482754
2.842108,4,408.789736
5.618078,7,409.256375
4.681617,6,409.665081
6.082096,8,410.246735
11.46685,15,411.294002
29.014867,40,413.945611
10.158118,12,414.899867
4.727358,6,415.31089
33.248575,40,418.410068
10.732609,14,419.435347
8.330655,10,420.130707
11.119974,14,421.123172
11.482485,15,422.120898
2.617789,4,422.395367
10.960669,14,423.445336
11.169196,14,424.432586
3.518511,5,424.835905
2.694722,4,425.108126
7.068892,9,425.677978
6.220042,8,426.234342
13.118983,16,427.475975
29.269867,37,430.034578
10.47073,13,431.028396
6.586266,8,431.571063
10.312677,13,432.57077
11.197012,14,433.60047
6.970354,9,434.182261
5.176294,7,434.771603
2.802392,4,435.086292
6.82065,9,435.756884
10.077744,13,436.692306
1.862843,3,436.928452
16.199152,20,438.321552
1.721086,3,438.576444
8.439136,11,439.434673
8.708677,11,440.229519
3.81502,5,440.58198
6.745616,9,441.254556
4.70646,6,441.646448
7.648884,10,442.315133
5.833357,8,442.907811
8.478475,11,443.699589
3.711459,5,444.059683
1.806303,3,444.259149
8.642316,10,444.957528
6.083329,8,445.548594
2.481415,4,445.801383
1.786794,3,445.988599
6.77333,9,446.541726
5.878282,8,447.137319
10.14149,13,448.117288
33.013707,40,450.980995
9.547659,12,451.914222
31.382135,40,454.691522
9.912508,13,455.712374
8.810593,11,456.46534
11.731557,15,457.5105
8.676593,11,458.263776
3.977228,5,458.60334
9.564895,12,459.600157
6.137689,8,460.130349
33.025499,40,462.861225
10.15818,13,463.908013
6.398376,8,464.418294
1.820612,3,464.658391
17.3731,20,466.148699
9.748538,12,476.388561
4.249271,6,476.808719
5.403272,7,477.313571
33.126779,40,480.108908
11.399472,15,481.156684
3.413555,5,481.493295
31.569288,40,484.228379
10.741537,14,485.17982
1.639466,3,485.383082
12.388666,16,486.42939
7.9603,10,487.168933
8.590769,11,487.913876
11.547996,15,488.994151
10.648017,14,490.017101
7.326424,9,490.665013
11.260672,15,491.790766
32.648271,40,494.554571
5.064195,7,495.029911
6.582285,9,495.720575
12.48793,16,496.728263
2.708284,4,497.036169
1.905019,3,497.284127
9.767091,13,498.166784
1.12729,2,498.280578
2.732334,4,498.575177
9.334312,12,499.427876
9.349512,12,500.362273
7.606325,9,500.948639
1.93187,3,501.179228
3.658366,5,501.588529
32.022251,40,504.41943
1.828545,3,504.589578
11.460003,15,505.786232
11.353095,15,506.834469
7.839666,10,507.529869
12.166166,15,508.552931
10.647475,13,509.569322
11.511549,15,510.598401
10.388083,13,511.515515
1.993797,3,511.742453
10.062872,13,512.573457
2.459412,4,512.817332
9.014389,11,513.578831
7.952867,10,514.275598
11.146005,14,515.258967
3.273043,5,515.629482
1.156283,2,515.781969
