#{"t_start": 1765424035.0336254, "env_id": "group5-env-v0"}
r,l,t
0.068258,4,49.581997
2.768685,9,49.842286
2.191961,7,50.05429
0.416981,4,50.172801
0.435533,6,50.360943
0.526555,5,50.493506
0.321789,5,50.632058
10.201655,21,51.162158
4.536083,12,51.431833
-0.333002,4,51.538386
-0.22933,5,51.679414
-0.573634,5,51.799506
0.739241,4,51.903136
0.214009,4,52.004341
0.35141,4,52.109916
-0.335085,3,52.17755
-0.185072,3,52.251191
9.788625,21,52.775748
-1.086664,1,52.803763
0.48075,5,52.922886
-0.735772,2,52.980414
3.207539,8,53.215475
-0.00424,3,53.308148
-0.830464,3,53.386706
3.17009,12,53.728772
0.770137,7,53.917162
-0.175665,3,53.99146
4.551772,15,54.367009
0.934949,5,54.498943
9.540569,20,54.977097
1.582796,6,55.18715
0.749378,5,55.325285
0.119031,4,55.432668
-0.705907,2,55.484838
3.302729,14,55.87712
1.248366,6,56.028329
3.017738,9,56.257859
0.89791,6,56.41994
0.325445,7,56.604972
-0.173262,3,56.702524
1.546872,6,56.861884
-0.703161,2,56.9139
2.630292,8,57.120751
5.794438,17,58.337847
1.019924,5,58.474525
0.196434,5,58.598777
4.742149,11,58.900064
9.988749,22,59.471316
0.386211,7,59.686885
-0.849117,2,59.742131
0.530931,5,59.877447
11.691643,19,60.322501
1.420867,10,60.590935
2.142877,10,60.82713
9.828963,19,61.291664
0.555584,7,61.457754
0.551625,6,61.599453
2.245477,8,61.786372
3.613726,12,62.09736
2.136355,8,62.330428
2.154172,7,62.529207
0.680825,8,62.750471
1.26369,9,62.993876
3.788667,10,63.241181
-0.442323,4,63.335667
0.757825,5,63.450271
1.873306,9,63.666606
2.084627,7,63.825425
0.221954,4,63.915449
1.010633,5,64.062292
2.124622,7,64.231807
2.696164,8,64.442599
2.950243,9,64.67685
-1.204546,1,64.701876
0.762137,5,64.835722
1.440444,6,64.990139
-0.623767,4,65.104072
-0.248879,3,65.179694
-0.883186,2,65.235925
1.577661,7,65.393169
-0.901301,2,65.443041
3.493746,13,65.741439
11.334197,19,66.185877
-1.50787,2,66.237877
10.263957,20,66.652575
-0.442233,4,66.759659
10.139518,17,67.176873
-0.331162,3,67.251884
-0.890274,2,67.302652
3.251068,10,67.539713
0.227566,4,67.651313
-0.846658,2,67.708618
-0.705448,2,67.76027
0.032467,4,67.851313
3.266218,9,68.058419
6.327241,15,68.454538
0.300857,5,68.594005
0.06374,3,68.680515
8.981877,21,69.30562
4.297557,11,69.629759
-1.088057,1,69.661176
-0.693135,3,69.742928
10.012133,21,70.201677
-0.273855,3,70.30602
2.751242,11,70.606088
9.497403,20,71.125977
9.320868,19,71.667344
-1.204933,1,71.695344
1.073711,9,71.943291
9.862424,20,72.514655
0.118313,6,72.678991
1.70993,6,72.826633
1.010358,5,72.949197
9.361863,22,73.471687
0.574988,5,73.62822
-0.849355,2,73.691739
0.159073,6,73.883955
1.840365,10,74.15621
0.235416,4,74.273381
5.004511,15,74.649457
-0.630388,4,74.766662
-0.224684,3,74.848698
-0.490104,3,74.935237
0.820577,5,75.075643
-1.018866,1,75.106643
8.432513,16,75.544399
-0.703649,2,75.606991
0.092875,3,75.700526
1.578539,9,75.936771
2.328586,10,76.256168
-0.851699,2,76.321389
-0.739636,2,76.383927
0.857598,5,76.536144
5.187025,15,76.99066
1.61562,7,77.183416
2.444922,9,77.458555
0.2826,4,77.552116
5.565051,13,77.891101
1.277633,10,78.127268
3.699379,9,78.346526
0.370602,6,78.516629
1.556345,6,78.671683
2.593792,8,78.889709
1.832012,7,79.105062
0.869872,6,79.276862
-0.688151,2,79.333525
3.895397,11,79.669147
-1.204064,1,79.704676
1.255743,5,79.84863
0.490776,5,79.969957
5.675758,15,80.416051
-1.001771,2,80.472107
0.323507,5,80.596309
2.81598,8,80.831324
0.616275,5,80.980347
-0.242652,3,81.06035
0.899442,6,81.22083
-0.854507,2,81.277496
0.18742,7,81.456476
-0.332826,3,81.544979
0.899016,5,81.683334
2.460959,12,82.050803
2.947468,9,82.282982
1.705341,10,82.571422
-0.703441,2,82.622681
-1.203885,1,82.649682
1.23788,6,82.825747
10.604691,18,83.33946
0.202762,4,83.45749
0.363913,4,83.564173
4.198125,10,83.812886
10.081419,17,84.245639
2.492955,8,84.443671
0.130465,4,84.54865
0.209599,5,84.68529
0.003519,3,84.761919
0.874495,5,84.908146
-1.360368,1,84.938138
6.987603,15,85.368895
-0.212402,3,85.448418
10.205933,22,86.037576
10.255513,17,86.50817
0.084197,5,86.66274
-0.011105,4,86.774859
1.435542,9,86.994846
-0.849104,2,87.045855
4.118553,11,87.336479
0.086458,6,87.505661
10.160811,17,87.999373
6.67304,14,88.424776
-0.847981,2,88.475779
-1.211126,1,88.502285
-0.265267,5,88.639796
-0.142574,4,88.731747
0.901571,5,88.876279
1.055232,6,89.046888
2.682295,8,89.253526
2.722815,7,89.428559
0.683157,7,89.621877
6.872332,19,90.200594
10.243912,19,90.670625
1.0137,8,90.872664
0.28238,4,90.995729
-0.974374,3,91.077993
0.432049,4,91.184995
-0.044382,6,91.343752
6.392625,14,91.696053
1.068047,9,91.923075
-1.357969,1,91.955075
9.837137,19,92.501702
3.602885,11,92.788425
0.476003,8,93.052629
-0.734675,2,93.103178
-0.856095,2,93.156211
-0.73766,2,93.210801
-1.006623,2,93.254801
4.840133,12,93.519536
-0.433629,2,93.578062
0.361166,6,93.714383
-0.693673,2,93.766384
3.270677,9,93.999934
9.664236,21,94.523575
-1.20936,1,94.553575
4.369571,13,94.894445
11.967074,17,95.379756
0.111575,4,95.484287
-0.882118,2,95.536427
-1.008499,2,95.585138
-0.729258,2,95.642663
9.374462,22,96.235877
-0.872194,2,96.291407
0.277263,4,96.394944
0.289478,4,96.497476
11.939718,17,96.908662
4.5925,11,97.170753
-0.445527,3,97.248354
9.080018,22,97.767224
5.257665,16,98.149235
-0.851059,2,98.194875
2.406725,9,98.419955
0.225622,3,98.494457
0.219129,3,98.576469
1.506714,7,98.757499
0.992075,5,98.911402
-0.851515,2,98.968405
-0.887901,2,99.028935
2.591664,8,99.279039
-0.99954,2,99.344575
10.575722,20,99.812832
-0.703265,2,99.86742
-0.703094,2,99.916024
-1.007149,2,99.971015
-0.548183,3,100.048525
-0.442021,4,100.150033
1.218102,6,100.293191
-1.211072,1,100.319148
-0.129978,5,100.443987
1.429616,9,100.708522
-0.628177,4,100.81303
1.154786,8,101.010051
0.165638,4,101.102568
-0.73679,2,101.149528
0.637525,7,101.309572
2.6035,9,101.531589
-1.358904,1,101.55659
9.949374,20,102.095402
3.885231,15,102.47493
0.450207,2,102.529439
-0.890572,2,102.575439
-1.013375,2,102.627458
0.913306,7,102.814
-0.758226,2,102.869
-0.627936,4,102.975508
0.999356,7,103.163548
2.530366,8,103.374371
-0.849444,2,103.424489
-1.352781,1,103.454668
-0.503905,2,103.509589
3.787159,13,103.84544
-0.362372,3,103.941082
-0.8517,2,104.000629
0.225379,5,104.115151
0.556559,4,104.20987
-1.123994,2,104.258626
-0.125415,5,104.371752
8.209062,16,104.73065
0.067735,4,104.829261
0.323013,5,104.949538
0.999215,5,105.084293
-0.393301,3,105.163926
3.425341,12,105.481342
-0.698084,2,105.534863
0.341399,4,105.641074
0.030649,4,105.742429
-0.38775,3,105.81896
0.275583,4,105.915491
-0.585038,2,105.96349
2.391578,8,106.175547
1.400482,9,106.414449
5.081169,19,106.943419
11.861935,17,107.360187
1.500663,7,107.535419
0.740835,7,107.743675
-0.903302,2,107.800268
-0.579147,2,107.851138
-0.855101,2,107.89797
0.219212,4,107.991988
-1.209359,1,108.016549
1.84087,9,108.23519
0.367136,7,108.409254
-0.840605,2,108.463253
-1.211992,1,108.490265
-0.289101,4,108.611321
0.482817,4,108.709607
-0.668359,2,108.755618
-0.617613,4,108.862698
-0.859302,2,108.910228
0.858664,5,109.049762
-0.710965,2,109.100297
4.660584,13,109.445307
0.350797,4,109.547335
0.413594,5,109.674852
0.624016,5,109.811972
8.641427,15,110.217611
1.930006,10,110.467586
2.046533,8,110.70876
4.119715,11,110.947783
0.742504,6,111.104263
-0.07848,3,111.190309
-0.730372,2,111.240005
0.07121,5,111.363589
0.144845,3,111.443133
0.298283,5,111.597783
0.495655,6,111.770783
0.589699,7,111.955094
-0.231285,3,112.043468
0.69439,5,112.160058
0.902625,7,113.025542
0.573504,5,113.19146
-0.65884,2,113.246958
0.719531,5,113.38736
0.230228,4,113.509464
-1.049762,1,113.535444
0.767512,5,113.660018
7.741632,16,114.035564
1.682411,9,114.284197
-0.196146,3,114.364734
-0.385404,3,114.438133
4.135077,12,114.773883
2.076573,8,114.975331
2.801854,7,115.199646
-0.33174,3,115.272146
9.043061,22,115.771887
-0.02699,4,115.876389
0.999149,7,116.038101
9.378477,21,116.534685
7.497111,17,116.923669
10.21262,17,117.295393
-0.742033,2,117.343899
2.12232,7,117.534504
9.812278,19,118.05628
-0.488465,3,118.135295
-0.730124,2,118.185295
10.360191,21,118.654356
0.075376,4,118.750402
-0.848328,2,118.801451
0.047375,4,118.920521
2.728398,11,119.219073
-0.525066,3,119.301084
-0.580181,2,119.36362
1.721333,9,119.57926
-0.734694,2,119.624789
-1.35906,1,119.650789
